,48.000,1403.000
0.437,48.000,1400.000
0.440,48.000,1402.000
0.443,48.000,1399.000
0.446,48.000,1400.000
0.449,48.000,1400.000
0.451,48.000,1402.000
0.454,48.000,1400.000
0.457,48.000,1400.000
0.460,48.000,1402.000
0.463,48.000,1401.000
0.466,48.000,1400.000
0.469,48.000,1400.000
0.472,48.000,1401.000
0.477,48.000,1401.000
0.482,48.000,1401.000
0.486,48.000,1401.000
0.491,48.000,1402.000
0.497,48.000,1400.000
0.502,48.000,1401.000
0.508,48.000,1403.000
0.514,48.000,1401.000
0.520,48.000,1401.000
0.525,48.000,1402.000
0.532,48.000,1402.000
0.538,48.000,1402.000
0.546,48.000,1401.000
0.554,48.000,1402.000
0.561,48.000,1403.000
0.569,48.000,1404.000
0.578,48.000,1403.000
0.586,48.000,1402.000
0.595,48.000,1401.000
0.604,48.000,1402.000
0.614,48.000,1401.000
0.621,48.000,1403.000
0.630,48.000,1402.000
0.640,48.000,1403.000
0.647,48.000,1403.000
0.655,48.000,1402.000
0.664,48.000,1402.000
0.672,48.000,1403.000
0.678,48.000,1402.000
0.686,48.000,1402.000
0.692,48.000,1402.000
0.699,48.000,1403.000
0.706,48.000,1402.000
0.713,48.000,1403.000
0.719,48.000,1403.000
0.727,48.000,1402.000
0.735,48.000,1402.000
0.742,48.000,1403.000
0.750,48.000,1403.000
0.758,48.000,1402.000
0.764,48.000,1403.000
0.772,48.000,1402.000
0.779,48.000,1402.000
0.788,48.000,1402.000
0.796,48.000,1403.000
0.804,48.000,1403.000
0.813,48.000,1402.000
0.821,48.000,1402.000
0.828,48.000,1403.000
0.836,48.000,1403.000
0.845,48.000,1403.000
0.853,48.000,1403.000
0.862,48.000,1403.000
0.871,48.000,1402.000
0.879,48.000,1403.000
0.888,48.000,1403.000
0.897,48.000,1403.000
0.907,48.000,1404.000
0.916,48.000,1402.000
0.925,48.000,1403.000
0.934,48.000,1403.000
0.945,48.000,1403.000
0.956,48.000,1403.000
0.965,48.000,1403.000
0.976,48.000,1403.000
0.986,48.000,1404.000
0.997,48.000,1403.000
1.008,48.000,1403.000
1.017,48.000,1404.000
1.028,48.000,1403.000
1.037,48.000,1401.000
1.048,48.000,1403.000
1.057,48.000,1403.000
1.066,48.000,1403.000
1.077,48.000,1403.000
1.088,48.000,1403.000
1.097,48.000,1404.000
1.108,48.000,1402.000
1.118,48.000,1402.000
1.129,48.000,1403.000
1.138,48.000,1402.000
1.149,48.000,1402.000
1.158,48.000,1404.000
1.167,48.000,1402.000
1.177,48.000,1403.000
1.186,48.000,1403.000
1.193,48.000,1403.000
1.201,48.000,1402.000
1.209,48.000,1402.000
1.216,48.000,1403.000
1.224,48.000,1402.000
1.232,48.000,1403.000
1.238,48.000,1401.000
1.246,48.000,1403.000
1.253,48.000,1402.000
1.261,48.000,1403.000
1.269,48.000,1403.000
1.275,48.000,1402.000
1.282,48.000,1402.000
1.289,48.000,1402.000
1.296,48.000,1403.000
1.304,48.000,1402.000
1.310,48.000,1403.000
1.318,48.000,1402.000
1.324,48.000,1402.000
1.331,48.000,1403.000
1.339,48.000,1402.000
1.345,48.000,1401.000
1.353,48.000,1403.000
1.359,48.000,1403.000
1.367,48.000,1403.000
1.374,48.000,1403.000
1.381,48.000,1402.000
1.388,48.000,1402.000
1.396,48.000,1403.000
1.404,48.000,1403.000
1.411,48.000,1402.000
1.419,48.000,1403.000
1.427,48.000,1403.000
1.433,48.000,1403.000
1.442,48.000,1402.000
1.448,48.000,1404.000
1.457,48.000,1403.000
1.465,48.000,1404.000
1.473,48.000,1404.000
1.479,48.000,1404.000
1.486,48.000,1403.000
1.494,48.000,1405.000
1.502,48.000,1405.000
1.508,48.000,1405.000
1.514,48.000,1404.000
1.519,48.000,1404.000
1.525,48.000,1403.000
1.531,48.000,1405.000
1.536,48.000,1403.000
1.540,48.000,1404.000
1.545,48.000,1405.000
1.549,48.000,1405.000
1.554,48.000,1404.000
1.560,48.000,1404.000
1.565,48.000,1403.000
1.571,48.000,1405.000
1.577,48.000,1403.000
1.583,48.000,1405.000
1.591,48.000,1405.000
1.597,48.000,1405.000
1.605,48.000,1404.000
1.614,48.000,1404.000
1.621,48.000,1405.000
1.631,48.000,1404.000
1.638,48.000,1405.000
1.649,48.000,1404.000
1.658,48.000,1406.000
1.667,48.000,1406.000
1.677,48.000,1406.000
1.687,48.000,1406.000
1.697,48.000,1406.000
1.706,48.000,1406.000
1.715,48.000,1406.000
1.724,48.000,1407.000
1.732,48.000,1407.000
1.740,48.000,1406.000
1.746,48.000,1408.000
1.752,48.000,1408.000
1.758,48.000,1408.000
1.764,48.000,1409.000
1.769,48.000,1407.000
1.775,48.000,1410.000
1.779,48.000,1408.000
1.784,48.000,1407.000
1.787,48.000,1409.000
1.792,48.000,1409.000
1.796,48.000,1408.000
1.799,48.000,1409.000
1.804,48.000,1408.000
1.809,48.000,1409.000
1.812,48.000,1409.000
1.818,48.000,1410.000
1.822,48.000,1409.000
1.827,48.000,1409.000
1.833,48.000,1410.000
1.839,48.000,1409.000
1.845,48.000,1410.000
1.852,48.000,1410.000
1.858,48.000,1410.000
1.865,48.000,1409.000
1.871,48.000,1410.000
1.879,48.000,1411.000
1.887,48.000,1411.000
1.896,48.000,1411.000
1.904,48.000,1411.000
1.913,48.000,1413.000
1.922,48.000,1413.000
1.931,48.000,1413.000
1.940,48.000,1414.000
1.951,48.000,1412.000
1.960,48.000,1412.000
1.971,48.000,1414.000
1.980,48.000,1415.000
1.991,48.000,1415.000
2.002,48.000,1415.000
2.013,48.000,1415.000
2.022,48.000,1416.000
2.033,48.000,1415.000
2.042,48.000,1415.000
2.051,48.000,1417.000
2.059,48.000,1417.000
2.066,48.000,1417.000
2.075,48.000,1416.000
2.083,48.000,1416.000
2.089,48.000,1417.000
2.095,48.000,1418.000
2.103,48.000,1418.000
2.109,48.000,1417.000
2.115,48.000,1418.000
2.121,48.000,1418.000
2.128,48.000,1418.000
2.135,48.000,1419.000
2.141,48.000,1418.000
2.149,48.000,1418.000
2.157,48.000,1418.000
2.163,48.000,1418.000
2.171,48.000,1418.000
2.177,48.000,1419.000
2.184,48.000,1418.000
2.191,48.000,1419.000
2.197,48.000,1420.000
2.203,48.000,1420.000
2.209,48.000,1421.000
2.215,48.000,1419.000
2.221,48.000,1419.000
2.226,48.000,1421.000
2.232,48.000,1419.000
2.237,48.000,1420.000
2.241,48.000,1420.000
2.246,48.000,1419.000
2.250,48.000,1420.000
2.256,48.000,1420.000
2.260,48.000,1420.000
2.264,48.000,1420.000
2.269,48.000,1422.000
2.275,48.000,1420.000
2.279,48.000,1419.000
2.284,48.000,1421.000
2.289,48.000,1419.000
2.295,48.000,1421.000
2.299,48.000,1421.000
2.306,48.000,1421.000
2.310,48.000,1420.000
2.316,48.000,1421.000
2.321,48.000,1421.000
2.327,48.000,1421.000
2.332,48.000,1420.000
2.338,48.000,1420.000
2.342,48.000,1420.000
2.350,48.000,1420.000
2.355,48.000,1420.000
2.361,48.000,1423.000
2.367,48.000,1421.000
2.373,48.000,1421.000
2.379,48.000,1421.000
2.385,48.000,1420.000
2.390,48.000,1420.000
2.396,48.000,1420.000
2.402,48.000,1421.000
2.410,48.000,1419.000
2.416,48.000,1419.000
2.424,48.000,1419.000
2.430,48.000,1419.000
2.437,48.000,1420.000
2.445,48.000,1419.000
2.453,48.000,1421.000
2.461,48.000,1419.000
2.468,48.000,1420.000
2.477,48.000,1419.000
2.485,48.000,1418.000
2.494,48.000,1419.000
2.503,48.000,1418.000
2.513,48.000,1418.000
2.520,48.000,1417.000
2.530,48.000,1419.000
2.539,48.000,1419.000
2.546,48.000,1416.000
2.554,48.000,1417.000
2.563,48.000,1416.000
2.571,48.000,1416.000
2.579,48.000,1415.000
2.585,48.000,1416.000
2.592,48.000,1416.000
2.599,48.000,1416.000
2.606,48.000,1415.000
2.614,48.000,1414.000
2.620,48.000,1414.000
2.629,48.000,1415.000
2.637,48.000,1416.000
2.645,48.000,1413.000
2.654,48.000,1413.000
2.661,48.000,1414.000
2.671,48.000,1414.000
2.678,48.000,1413.000
2.688,48.000,1411.000
2.697,48.000,1413.000
2.706,48.000,1412.000
2.714,48.000,1410.000
2.723,48.000,1410.000
2.730,48.000,1411.000
2.740,48.000,1410.000
2.747,48.000,1410.000
