.000,23644.000
38471.000,0.000,34085.000
38787.000,0.000,39080.000
38917.000,0.000,39403.000
34860.000,0.000,37689.000
32206.000,0.000,38034.000
32107.000,0.000,37755.000
31295.000,0.000,34166.000
29544.000,0.000,32223.000
29464.000,0.000,32128.000
31576.000,0.000,31891.000
31423.000,0.000,31175.000
31309.000,0.000,31044.000
32246.000,0.000,31338.000
32609.000,0.000,29817.000
32625.000,0.000,29204.000
35921.000,0.000,32238.000
38788.000,0.000,32561.000
38983.000,0.000,32829.000
38200.000,0.000,38194.000
39322.000,0.000,39796.000
37526.000,0.000,38551.000
32317.000,0.000,37744.000
32069.000,0.000,37925.000
32060.000,0.000,35947.000
29819.000,0.000,32326.000
29112.000,0.000,32170.000
30764.000,0.000,32106.000
31548.000,0.000,31349.000
31128.000,0.000,30831.000
32067.000,0.000,31683.000
32518.000,0.000,30529.000
32600.000,0.000,29231.000
34103.000,0.000,30927.000
37862.000,0.000,32579.000
39492.000,0.000,32680.000
38319.000,0.000,35423.000
38978.000,0.000,39273.000
38555.000,0.000,39089.000
33458.000,0.000,37457.000
32117.000,0.000,37967.000
32150.000,0.000,37221.000
30368.000,0.000,32945.000
29335.000,0.000,32144.000
29827.000,0.000,32223.000
31604.000,0.000,31705.000
31218.000,0.000,30967.000
31486.000,0.000,31178.000
32355.000,0.000,30969.000
32619.000,0.000,29412.000
32784.000,0.000,29420.000
36718.000,0.000,32453.000
39047.000,0.000,32593.000
38825.000,0.000,33473.000
38574.000,0.000,38746.000
39164.000,0.000,39618.000
36176.000,0.000,38131.000
32253.000,0.000,38129.000
32100.000,0.000,37877.000
31813.000,0.000,34881.000
29567.000,0.000,32215.000
29295.000,0.000,32202.000
31264.000,0.000,31999.000
31424.000,0.000,31231.000
31045.000,0.000,30742.000
32173.000,0.000,31517.000
32623.000,0.000,30251.000
32571.000,0.000,29219.000
35188.000,0.000,31945.000
38232.000,0.000,32598.000
39230.000,0.000,32685.000
38123.000,0.000,37034.000
39271.000,0.000,39632.000
38170.000,0.000,38799.000
32480.000,0.000,37415.000
32106.000,0.000,38031.000
32133.000,0.000,36530.000
30007.000,0.000,32475.000
29156.000,0.000,32143.000
30129.000,0.000,32148.000
31610.000,0.000,31508.000
31146.000,0.000,30842.000
31849.000,0.000,31505.000
32446.000,0.000,30755.000
32609.000,0.000,29327.000
33414.000,0.000,30253.000
37349.000,0.000,32508.000
39333.000,0.000,32631.000
38443.000,0.000,34356.000
38889.000,0.000,39126.000
38927.000,0.000,39396.000
34628.000,0.000,37692.000
32129.000,0.000,38117.000
32107.000,0.000,37778.000
31135.000,0.000,33977.000
29444.000,0.000,32167.000
29444.000,0.000,32147.000
31575.000,0.000,31803.000
31358.000,0.000,31106.000
31310.000,0.000,30996.000
32212.000,0.000,31250.000
32586.000,0.000,29774.000
32651.000,0.000,29227.000
36113.000,0.000,32261.000
38925.000,0.000,32631.000
39029.000,0.000,32962.000
38332.000,0.000,38408.000
39387.000,0.000,39843.000
37332.000,0.000,38646.000
32315.000,0.000,37897.000
32075.000,0.000,37963.000
32002.000,0.000,35878.000
29749.000,0.000,32355.000
29108.000,0.000,32133.000
30800.000,0.000,32067.000
31516.000,0.000,31322.000
31103.000,0.000,30815.000
32067.000,0.000,31694.000
32509.000,0.000,30437.000
32625.000,0.000,29218.000
34273.000,0.000,31081.000
37966.000,0.000,32579.000
39486.000,0.000,32626.000
38298.000,0.000,35705.000
38944.000,0.000,39261.000
38476.000,0.000,38972.000
33282.000,0.000,37406.000
32096.000,0.000,37967.000
32141.000,0.000,37108.000
30224.000,0.000,32696.000
29270.000,0.000,32173.000
29962.000,0.000,32147.000
31611.000,0.000,31714.000
31169.000,0.000,30887.000
31544.000,0.000,31291.000
32400.000,0.000,30911.000
32620.000,0.000,29274.000
32898.000,0.000,29553.000
36877.000,0.000,32370.000
39065.000,0.000,32595.000
38770.000,0.000,33787.000
38673.000,0.000,38867.000
39165.000,0.000,39618.000
35880.000,0.000,38062.000
32260.000,0.000,38123.000
32109.000,0.000,37840.000
31691.000,0.000,34676.000
29574.000,0.000,32202.000
29292.000,0.000,32167.000
31357.000,0.000,31908.000
31357.000,0.000,31113.000
31017.000,0.000,30744.000
32134.000,0.000,31437.000
32583.000,0.000,30161.000
32634.000,0.000,29199.000
35446.000,0.000,32047.000
38436.000,0.000,32615.000
39193.000,0.000,32734.000
38102.000,0.000,37370.000
39346.000,0.000,39727.000
38041.000,0.000,38816.000
32452.000,0.000,37510.000
32105.000,0.000,38114.000
